epoch, batch_index, loss
0, 0, 3.591919422149658
0, -1, 0.08541461806443193
1, 0, 0.5115761756896973
1, -1, 0.050632251950749683
2, 0, 0.39110633730888367
2, -1, 0.0391785071735487
3, 0, 0.297381192445755
3, -1, 0.03450048343782126
4, 0, 0.2384796142578125
4, -1, 0.08332990923382669
5, 0, 0.525707483291626
5, -1, 0.04614531047678207
6, 0, 0.33407923579216003
6, -1, 0.038059443649318486
7, 0, 0.32050585746765137
7, -1, 0.03335700858214194
8, 0, 0.26703178882598877
8, -1, 0.02999548209148391
9, 0, 0.1628079116344452
9, -1, 0.028088523204941238
10, 0, 0.11610047519207001
10, -1, 0.026316748362155015
11, 0, 0.13717497885227203
11, -1, 0.024937522087687587
12, 0, 0.0736614316701889
12, -1, 0.024183775706559472
13, 0, 0.13366353511810303
13, -1, 0.023611247787913372
14, 0, 0.10262498259544373
14, -1, 0.0243586666291675
15, 0, 0.11422131210565567
15, -1, 0.023700475983787328
16, 0, 0.09886425733566284
16, -1, 0.02160305504670153
17, 0, 0.1318693459033966
17, -1, 0.021271205028824625
18, 0, 0.08846306055784225
18, -1, 0.02127095179134307
19, 0, 0.10725653916597366
19, -1, 0.02153874506843244
20, 0, 0.0923103466629982
20, -1, 0.02192523217692926
21, 0, 0.08716708421707153
21, -1, 0.020468434142963413
22, 0, 0.09072251617908478
22, -1, 0.02010316116472192
23, 0, 0.09134449809789658
23, -1, 0.020098552837832056
24, 0, 0.0875832587480545
24, -1, 0.0196437680935762
25, 0, 0.10628283023834229
25, -1, 0.019481208975675044
26, 0, 0.08007609099149704
26, -1, 0.01945521806040536
27, 0, 0.10449236631393433
27, -1, 0.01913526778227808
28, 0, 0.10001955181360245
28, -1, 0.019095771558467176
29, 0, 0.065330870449543
29, -1, 0.019037029156707932
30, 0, 0.09167278558015823
30, -1, 0.01871079885798584
31, 0, 0.08564109355211258
31, -1, 0.018727549461901718
32, 0, 0.06547383964061737
32, -1, 0.018424149797586626
33, 0, 0.0641302764415741
33, -1, 0.018764352914028375
34, 0, 0.06138210371136665
34, -1, 0.018271313798524917
35, 0, 0.06829503178596497
35, -1, 0.018167016560053324
36, 0, 0.0704551711678505
36, -1, 0.01839167165275689
37, 0, 0.06805252283811569
37, -1, 0.018312814636677405
38, 0, 0.05699566379189491
38, -1, 0.018358142928365042
39, 0, 0.05842629820108414
39, -1, 0.018419071060230233
40, 0, 0.051012758165597916
40, -1, 0.01815526245859979
41, 0, 0.060848623514175415
41, -1, 0.018323184549040486
42, 0, 0.06189766526222229
42, -1, 0.01835281858115599
43, 0, 0.06242900714278221
43, -1, 0.018092393276371393
44, 0, 0.062283437699079514
44, -1, 0.01819800368957658
45, 0, 0.06363853067159653
45, -1, 0.018367470564953692
46, 0, 0.059577297419309616
46, -1, 0.01831059879411138
47, 0, 0.06663437187671661
47, -1, 0.01814577499923568
48, 0, 0.06534051150083542
48, -1, 0.018132798886148924
49, 0, 0.062191158533096313
49, -1, 0.01818460940588314
50, 0, 0.06409191340208054
50, -1, 0.01797660379219855
